Quintile,Race,LUOFs,Population,Difference
1,Black,0.4759751271905031,0.3670252250737249,0.10894990211677819
1,Hispanic/Latino,0.32202052091554856,0.22793837919501636,0.0940821417205322
1,White,0.23462877030162413,0.11842308436954059,0.11620568593208354
2,Black,0.2006783493499152,0.21168593995993953,-0.01100759061002432
2,Hispanic/Latino,0.23914759273875297,0.22522566254098753,0.013921930197765442
2,White,0.25319025522041766,0.18519945647436767,0.06799079874604999
3,Black,0.14019219898247598,0.1673065449983346,-0.02711434601585863
3,Hispanic/Latino,0.18863456985003946,0.2060219739547438,-0.01738740410470435
3,White,0.22940835266821347,0.21298025465685236,0.01642809801136111
4,Black,0.11644997173544375,0.14492708762434262,-0.02847711588889887
4,Hispanic/Latino,0.1515390686661405,0.1960400218786315,-0.04450095321249101
4,White,0.1711136890951276,0.23231977025313746,-0.06120608115800985
5,Black,0.06670435274166196,0.1090552023436583,-0.04235084960199634
5,Hispanic/Latino,0.09865824782951854,0.1447739624306208,-0.04611571460110225
5,White,0.11165893271461717,0.2510774342461019,-0.13941850153148472
