Quintile,Race,Population,LUOFs
1,Black,0.3670252250737249,0.4759751271905031
2,Black,0.21168593995993953,0.2006783493499152
3,Black,0.1673065449983346,0.14019219898247598
4,Black,0.14492708762434262,0.11644997173544375
5,Black,0.1090552023436583,0.06670435274166196
1,Hispanic/Latino,0.22793837919501636,0.32202052091554856
2,Hispanic/Latino,0.22522566254098753,0.23914759273875297
3,Hispanic/Latino,0.2060219739547438,0.18863456985003946
4,Hispanic/Latino,0.1960400218786315,0.1515390686661405
5,Hispanic/Latino,0.1447739624306208,0.09865824782951854
1,White,0.11842308436954059,0.23462877030162413
2,White,0.18519945647436767,0.25319025522041766
3,White,0.21298025465685236,0.22940835266821347
4,White,0.23231977025313746,0.1711136890951276
5,White,0.2510774342461019,0.11165893271461717
