Victim_Race,Majority,Income_Quintile,n,White,Black,Latino
Black,Black,1,447,1662614,8912319,936831
Black,Black,2,94,642022,2951571,389000
Black,Black,3,34,411781,1819330,268244
Black,Black,4,31,232445,1255857,189096
Black,Black,5,6,124030,666182,91508
Black,Hispanic/Latino,1,111,1219960,1010501,8261664
Black,Hispanic/Latino,2,34,1498473,691684,7143285
Black,Hispanic/Latino,3,24,1344511,477904,5388363
Black,Hispanic/Latino,4,16,1060345,286654,3720628
Black,Hispanic/Latino,5,4,307458,66907,965992
Black,White,1,134,17207732,2120745,1844227
Black,White,2,139,31022803,2731171,3239338
Black,White,3,132,36724302,2551722,3822533
Black,White,4,112,40340761,2539313,4598473
Black,White,5,73,44437451,2316227,4882005
Hispanic/Latino,Black,1,6,1662614,8912319,936831
Hispanic/Latino,Black,2,5,642022,2951571,389000
Hispanic/Latino,Black,3,8,411781,1819330,268244
Hispanic/Latino,Black,4,1,232445,1255857,189096
Hispanic/Latino,Black,5,1,124030,666182,91508
Hispanic/Latino,Hispanic/Latino,1,279,1219960,1010501,8261664
Hispanic/Latino,Hispanic/Latino,2,191,1498473,691684,7143285
Hispanic/Latino,Hispanic/Latino,3,90,1344511,477904,5388363
Hispanic/Latino,Hispanic/Latino,4,58,1060345,286654,3720628
Hispanic/Latino,Hispanic/Latino,5,17,307458,66907,965992
Hispanic/Latino,White,1,54,17207732,2120745,1844227
Hispanic/Latino,White,2,64,31022803,2731171,3239338
Hispanic/Latino,White,3,80,36724302,2551722,3822533
Hispanic/Latino,White,4,78,40340761,2539313,4598473
Hispanic/Latino,White,5,64,44437451,2316227,4882005
White,Black,1,81,1662614,8912319,936831
White,Black,2,12,642022,2951571,389000
White,Black,3,9,411781,1819330,268244
White,Black,4,4,232445,1255857,189096
White,Black,5,3,124030,666182,91508
White,Hispanic/Latino,1,70,1219960,1010501,8261664
White,Hispanic/Latino,2,58,1498473,691684,7143285
White,Hispanic/Latino,3,54,1344511,477904,5388363
White,Hispanic/Latino,4,17,1060345,286654,3720628
White,Hispanic/Latino,5,5,307458,66907,965992
White,White,1,507,17207732,2120745,1844227
White,White,2,720,31022803,2731171,3239338
White,White,3,654,36724302,2551722,3822533
White,White,4,510,40340761,2539313,4598473
White,White,5,317,44437451,2316227,4882005
