Victim_Race,Majority,Income_Quintile,n,White,Black,Latino,Annual_10_M
Black,Black,1,447,1662614,8912319,936831,83.59216046912145
Black,Black,2,94,642022,2951571,389000,53.079077774739844
Black,Black,3,34,411781,1819330,268244,31.146997337847814
Black,Black,4,31,232445,1255857,189096,41.14056510149378
Black,Black,5,6,124030,666182,91508,15.010912933702802
Black,Hispanic/Latino,1,111,1219960,1010501,8261664,183.07750313953176
Black,Hispanic/Latino,2,34,1498473,691684,7143285,81.92565776664875
Black,Hispanic/Latino,3,24,1344511,477904,5388363,83.69881817268741
Black,Hispanic/Latino,4,16,1060345,286654,3720628,93.0273663254888
Black,Hispanic/Latino,5,4,307458,66907,965992,99.64079493426198
Black,White,1,134,17207732,2120745,1844227,105.3089048109666
Black,White,2,139,31022803,2731171,3239338,84.82320098839166
Black,White,3,132,36724302,2551722,3822533,86.21628845148493
Black,White,4,112,40340761,2539313,4598473,73.51069626574852
Black,White,5,73,44437451,2316227,4882005,52.527954585913506
Hispanic/Latino,Black,1,6,1662614,8912319,936831,10.67428383561176
Hispanic/Latino,Black,2,5,642022,2951571,389000,21.422450728363323
Hispanic/Latino,Black,3,8,411781,1819330,268244,49.7059890746236
Hispanic/Latino,Black,4,1,232445,1255857,189096,8.813865267729971
Hispanic/Latino,Black,5,1,124030,666182,91508,18.213343824219375
Hispanic/Latino,Hispanic/Latino,1,279,1219960,1010501,8261664,56.28406093493998
Hispanic/Latino,Hispanic/Latino,2,191,1498473,691684,7143285,44.5639972832294
Hispanic/Latino,Hispanic/Latino,3,90,1344511,477904,5388363,27.837768168180208
Hispanic/Latino,Hispanic/Latino,4,58,1060345,286654,3720628,25.981276995890656
Hispanic/Latino,Hispanic/Latino,5,17,307458,66907,965992,29.3308157141398
Hispanic/Latino,White,1,54,17207732,2120745,1844227,48.80093394142912
Hispanic/Latino,White,2,64,31022803,2731171,3239338,32.92853869113586
Hispanic/Latino,White,3,80,36724302,2551722,3822533,34.88088483038167
Hispanic/Latino,White,4,78,40340761,2539313,4598473,28.270254060423973
Hispanic/Latino,White,5,64,44437451,2316227,4882005,21.848946624730345
White,Black,1,81,1662614,8912319,936831,81.19743969436081
White,Black,2,12,642022,2951571,389000,31.151580475435427
White,Black,3,9,411781,1819330,268244,36.42712995500035
White,Black,4,4,232445,1255857,189096,28.68061978819362
White,Black,5,3,124030,666182,91508,40.31282754172378
White,Hispanic/Latino,1,70,1219960,1010501,8261664,95.63155076122715
White,Hispanic/Latino,2,58,1498473,691684,7143285,64.51011574227007
White,Hispanic/Latino,3,54,1344511,477904,5388363,66.93883501139075
White,Hispanic/Latino,4,17,1060345,286654,3720628,26.72086286381634
White,Hispanic/Latino,5,5,307458,66907,965992,27.103973008779516
White,White,1,507,17207732,2120745,1844227,49.105832192179655
White,White,2,720,31022803,2731171,3239338,38.68122425945844
White,White,3,654,36724302,2551722,3822533,29.680618572410168
White,White,4,510,40340761,2539313,4598473,21.070499884719577
White,White,5,317,44437451,2316227,4882005,11.889370822222304
